danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.361,0.633,-5.652,0.12,0.294,0.0,0.281,0.523,181.219,i wish it would rain,the temptations,0
0.683,0.522,-11.117,0.0377,0.507,0.000137,0.121,0.764,115.072,sunshine of your love,cream,0
0.259,0.289,-10.491,0.0285,0.14,0.0,0.162,0.246,80.326,words,bee gees,0
0.769,0.367,-11.226,0.0312,0.684,1.62e-05,0.081,0.535,103.621,(sittin' on) the dock of the bay,otis redding,0
0.789,0.373,-11.937,0.0923,0.317,9.67e-05,0.0711,0.711,117.919,i thank you,sam & dave,0
0.457,0.492,-8.104,0.0291,0.432,0.00106,0.0996,0.691,98.921,love is all around,the troggs,0
0.528,0.482,-10.939,0.027,0.614,0.0,0.549,0.788,95.82,delilah,tom jones,0
0.399,0.278,-13.122,0.0291,0.674,0.000694,0.203,0.597,93.189,honey,bobby goldsboro,0
0.595,0.885,-7.688,0.0518,0.0744,0.534,0.0844,0.643,137.243,jumpin' jack flash,the rolling stones,0
0.673,0.697,-6.953,0.0271,0.518,0.831,0.256,0.911,107.46,grazing in the grass,hugh masekela,0
0.478,0.681,-5.2,0.0291,0.133,0.0,0.0748,0.962,92.898,congratulations,cliff richard,0
0.405,0.463,-16.167,0.0542,0.00379,0.0442,0.392,0.542,79.451,hurdy gurdy man,donovan,0
0.438,0.71,-12.412,0.0919,0.262,0.537,0.221,0.53,145.928,born to be wild,steppenwolf,0
0.684,0.482,-9.234,0.0371,0.778,0.000351,0.148,0.749,123.532,i get the sweetest feeling,jackie wilson,0
0.496,0.156,-17.059,0.0419,0.777,0.0,0.232,0.205,129.524,on the road again,canned heat,0
0.521,0.893,-4.168,0.0962,0.281,0.0,0.283,0.962,184.273,the house that jack built,aretha franklin,0
0.592,0.355,-14.051,0.0352,0.478,0.0,0.0585,0.499,133.032,i say a little prayer,aretha franklin,0
0.462,0.632,-7.438,0.0248,0.091,0.0,0.397,0.585,74.268,hey jude,the beatles,1
0.63,0.625,-8.407,0.0375,0.6,1.52e-05,0.24,0.887,122.504,elenore,the turtles,0
0.553,0.576,-13.458,0.0304,0.191,0.00664,0.0365,0.457,109.827,white room,cream,0
0.64,0.651,-14.981,0.0517,0.142,0.28,0.0341,0.801,111.676,magic carpet ride,steppenwolf,0
0.393,0.732,-8.188,0.0295,0.00471,0.123,0.0979,0.621,100.41,i put a spell on you,creedence clearwater revival,0
0.307,0.43,-11.333,0.0629,0.288,0.000994,0.0988,0.305,145.224,with a little help from my friends,joe cocker,0
0.807,0.497,-10.656,0.0297,0.307,0.0327,0.043,0.765,114.524,everyday people,sly & the family stone,0
0.325,0.715,-7.744,0.0368,0.00708,2.79e-05,0.0987,0.282,93.914,if i can dream,elvis presley,0
0.622,0.239,-18.982,0.0447,0.859,0.051,0.109,0.737,79.674,going up the country,canned heat,0
0.31,0.464,-8.755,0.0275,0.156,8.94e-06,0.132,0.431,144.775,i started a joke,bee gees,0
0.425,0.903,-4.801,0.0732,0.405,0.0128,0.117,0.769,108.748,touch me,the doors,0
0.64,0.664,-4.73,0.0289,0.196,0.0,0.31,0.879,134.002,build me up buttercup,the foundations,0
0.736,0.595,-5.847,0.0355,0.000512,0.0118,0.144,0.719,102.011,dizzy,tommy roe,0
0.541,0.571,-10.745,0.0373,0.127,3.83e-06,0.275,0.666,117.067,time of the season,the zombies,0
0.518,0.709,-8.395,0.179,0.27,7.2e-06,0.0985,0.782,173.097,the weight,aretha franklin,0
